,Neighbourhood,Latitude,Longitude
0,jardim da penha,-20.2843019,-40.2945253
1,mata da praia,-20.2760095,-40.2939889
2,pontal de camburi,-20.2893289,-40.2967992
3,república,-20.2699409,-40.2930344
4,goiabeiras,-20.2706118,-40.3028593
5,andorinhas,-20.2876457,-40.3057956
6,conquista,-20.2752093,-40.3232699
7,nova palestina,-20.2721397,-40.3268749
8,da penha,-20.2985557,-40.3104326
9,tabuazeiro,-20.2944536,-40.3229385
10,bento ferreira,-20.3153408,-40.3069497
11,são pedro,-20.2820175,-40.3368799
12,santa martha,-20.288527,-40.309795
13,são cristóvão,-20.2915876,-40.3162247
14,maruípe,-20.2963157,-40.3198376
15,grande vitória,-20.2886158,-40.3408156
16,são benedito,-20.3025922,-40.3063056
17,ilha das caieiras,-20.2780131,-40.3355152
18,santo andré,-20.2788776,-40.3325777
19,solon borges,-20.2614253,-40.294912
20,bonfim,-20.3001895,-40.3133996
21,jardim camburi,-20.2599804,-40.267894
22,maria ortiz,-20.2579835,-40.2979268
23,jabour,-20.2580737,-40.2925726
24,antônio honório,-20.262694,-40.2981413
25,resistência,-20.2710424,-40.3186833
26,ilha de santa maria,-20.3144503,-40.3180567
27,jucutuquara,-20.3088457,-40.3193283
28,monte belo,-20.3141077,-40.3137115
29,mário cypreste,-20.3178139,-40.3579442
30,santo antônio,-20.3080868,-40.3550045
31,bela vista,-20.3050413,-40.3480895
32,praia do suá,-20.3131036,-40.2994874
33,santa helena,-20.3091792,-40.294467
34,itararé,-20.2960438,-40.3069624
35,inhanguetá,-20.2983262,-40.3484165
36,universitário,-20.295009,-40.3406008
37,são josé,-20.2828027,-40.3310381
38,redenção,-20.2788486,-40.3282781
39,santa clara,-20.3184344,-40.3449248
40,centro,-20.3218646,-40.3393833
41,parque moscoso,-20.3199474,-40.3427114
42,do moscoso,-20.3156022,-40.3431492
43,santos dumont,-20.3015055,-40.3170554
44,caratoíra,-20.3154701,-40.3534172
45,ariovaldo favalessa,-20.3142531,-40.3564749
46,ilha do frade,-20.3018287,-40.2827175
47,gurigica,-20.3059436,-40.3056724
48,joana d´arc,-20.2842568,-40.31718
49,consolação,-20.306255,-40.312335
50,praia do canto,-20.298286,-40.2946647
51,boa vista,-20.2717123,-40.2996541
52,morada de camburi,-20.2712388,-40.2966929
53,santa luíza,-20.2913934,-40.3027037
54,santa lúcia,-20.3028247,-40.3006106
55,barro vermelho,-20.295109,-40.2975362
56,estrelinha,-20.2938737,-40.347269
57,forte são joão,-20.3181834,-40.3245604
58,fonte grande,-20.3134941,-40.3369851
59,enseada do suá,-20.3133066,-40.2922293
60,santos reis,-20.2833869,-40.3339751
61,piedade,-20.3147917,-40.3404616
62,jesus de nazareth,-20.3174441,-40.3023787
63,santa tereza,-20.3106023,-40.3486418
64,cruzamento,-20.3109726,-40.322451
65,ilha do príncipe,-20.3231312,-40.3508253
66,romão,-20.3123469,-40.3254068
67,comdusa,-20.2866831,-40.3344263
68,santa cecília,-20.3026548,-40.3205618
69,vila rubim,-20.3194406,-40.3469311
70,de lourdes,-20.5164231,-29.3081688
71,do quadro,-20.312183,-40.3335763
72,do cabral,-20.3164057,-40.3489245
73,horto,-20.3093641,-40.3105218
74,segurança do lar,-20.2631167,-40.2963604
75,ilha do boi,-20.3105442,-40.2807253
76,fradinhos,-20.3071309,-40.3269799
77,nazareth,-20.3102896,-40.3161097
78,aeroporto,-20.2572651,-40.2820934
79,ilhas oceânicas de trindade,,
80,parque industrial,-20.2699636,-40.242073
